,_id,Insumos_entregados,N_insumos
518,430127271,Medicamentos,9
519,430127566,Medicamentos,1
520,430127805,Medicamentos,2
521,430128283,Medicamentos,1
522,430128698,Medicamentos,5
523,430128935,Medicamentos,1
524,430129176,Medicamentos,10
525,430129358,Medicamentos,10
526,430129566,Medicamentos,5
527,430129789,Medicamentos,1
528,430130135,Medicamentos,10
529,430130356,Medicamentos,4
530,430130620,Medicamentos,4
531,430130860,Medicamentos,4
532,430131255,Medicamentos,1
533,430131465,Medicamentos,4
534,430131927,Medicamentos,4
535,430132156,Medicamentos,2
536,430132462,Medicamentos,10
537,430132867,Medicamentos,10
538,430133197,Medicamentos,3
539,430133527,Medicamentos,1
540,430133776,Medicamentos,10
541,430134023,Medicamentos,10
542,430137942,,
543,430139170,Medicamentos,10
544,430141636,Medicamentos,5
545,430141893,Medicamentos,1
546,430142119,Medicamentos,4
547,430142301,Medicamentos,1
548,430142668,Medicamentos,1
549,430142892,Medicamentos,1
550,430143098,Medicamentos,2
551,430143676,Medicamentos,10
552,430143831,Medicamentos,1
553,430143997,Medicamentos,10
554,430144190,Medicamentos,10
555,430144396,Medicamentos,2
556,430144623,Medicamentos,5
557,430144931,Medicamentos,1
558,430145301,Medicamentos,5
559,430145764,Medicamentos,4
560,430146024,Medicamentos,5
561,430146311,Medicamentos,1
562,430146666,Medicamentos,10
563,430146833,Medicamentos,10
564,430147037,Medicamentos,1
565,430147266,Medicamentos,6
566,430147466,Medicamentos,4
567,430147956,Medicamentos,10
568,430148297,Medicamentos,5
569,430148542,Medicamentos,10
570,430148931,Medicamentos,1
571,430149625,,
572,430150288,Medicamentos,1
573,430150666,Medicamentos,5
574,430151072,Medicamentos,5
575,430151295,Medicamentos,4
576,430151527,Medicamentos,5
577,430151831,Medicamentos,2
578,430152072,Medicamentos,2
579,430154983,Medicamentos,1
580,430155466,Medicamentos,1
581,430155710,Medicamentos,1
582,430155937,Medicamentos,1
583,430156161,Medicamentos,10
584,430156377,Medicamentos,10
585,430156563,Medicamentos,5
586,430156799,Medicamentos,5
587,430157194,Medicamentos,1
588,430157658,Medicamentos,4
589,430157983,Medicamentos,5
590,430158297,Medicamentos,5
591,430158625,Medicamentos,4
592,430158980,Medicamentos,5
593,430159329,Medicamentos,10
594,430159572,Medicamentos,3
595,430159865,Medicamentos,5
596,430160096,Medicamentos,2
597,430160573,Medicamentos,10
598,430160833,Medicamentos,4
599,430161066,Medicamentos,4
600,430161327,Medicamentos,4
601,430161565,Medicamentos,10
602,430161827,Medicamentos,4
603,430162019,Medicamentos,6
604,430162417,Medicamentos,4
605,430162623,Medicamentos,10
606,430162793,Medicamentos,5
607,430162956,Medicamentos,4
608,430163160,Medicamentos,1
609,430163442,Medicamentos,1
610,430163765,Medicamentos,4
611,430164050,Medicamentos,2
612,430164614,Medicamentos,1
613,430164950,Medicamentos,1
614,430165264,Medicamentos,1
615,430165523,Medicamentos,3
616,430166251,Medicamentos,1
617,430166935,Medicamentos,1
618,430167306,,
619,430167806,,
620,430168277,Medicamentos,1
621,430168719,Medicamentos,6
622,430168962,Medicamentos,10
623,430169260,Medicamentos,1
624,430169693,Medicamentos,1
625,430169871,Medicamentos,1
626,430170102,Medicamentos,1
627,430170459,Medicamentos,1
628,430170699,Medicamentos,1
629,430170906,Medicamentos,1
630,430171124,Medicamentos,1
631,430171450,Medicamentos,3
632,430171695,Medicamentos,10
633,430171953,Medicamentos,4
634,430172347,Medicamentos,5
635,430172498,Medicamentos,5
636,430172763,Medicamentos,10
637,430173091,Medicamentos,1
638,430173338,Medicamentos,1
639,430173578,Medicamentos,3
640,430173788,Medicamentos,1
641,430174116,Medicamentos,6
642,430174333,Medicamentos,10
643,430174577,Medicamentos,4
644,430174802,Medicamentos,4
645,430175080,Medicamentos,1
646,430175306,Medicamentos,4
647,430175612,Medicamentos,2
648,430175881,Medicamentos,10
649,430176153,Medicamentos,4
650,430176456,Medicamentos,2
651,430176779,Medicamentos,2
652,430177158,Medicamentos,4
653,430177401,Medicamentos,10
654,430177635,Medicamentos,2
655,430178192,Medicamentos,6
656,430178405,Medicamentos,6
657,431821039,Medicamentos,3
658,431821534,Medicamentos,1
659,431821748,Medicamentos,10
660,431822152,Medicamentos,5
661,431822433,Medicamentos,10
662,431822898,Medicamentos,8
663,431823479,Medicamentos,4
664,431823976,Medicamentos,2
665,431824245,Medicamentos,1
666,431825689,Medicamentos,10
667,431825835,Medicamentos,1
668,431826208,Medicamentos,4
669,431826469,Medicamentos,3
670,431826904,Medicamentos,5
671,431827074,Medicamentos,1
672,431837367,Medicamentos,4
673,431838097,Medicamentos,4
674,431838588,Medicamentos,4
675,431839251,Medicamentos,5
676,431839561,Medicamentos,4
677,431839843,Medicamentos,4
678,431841724,,
679,431842777,Medicamentos,4
680,431843019,Medicamentos,4
681,431843174,Medicamentos,4
682,431843357,Medicamentos,10
683,431843472,Medicamentos,4
684,431843623,Medicamentos,4
685,431854255,Medicamentos,6
686,431854505,Medicamentos,3
687,431854905,Medicamentos,10
688,431855221,Medicamentos,10
689,431855696,Medicamentos,5
690,431855887,Medicamentos,6
691,431856283,Medicamentos,8
692,431856441,Medicamentos,1
693,431856781,Medicamentos,2
694,431856952,Medicamentos,5
695,431857235,Medicamentos,5
696,431857458,Medicamentos,2
697,431857768,Medicamentos,5
698,431858173,Medicamentos,1
699,431858535,Medicamentos,1
700,431858751,Medicamentos,2
701,431859361,Medicamentos,1
702,431876754,,
703,431877524,,
704,431877641,,
705,431921186,Medicamentos,1
706,431921738,Medicamentos,2
707,431922021,Medicamentos,5
708,431922351,Medicamentos,5
709,431922622,Medicamentos,10
710,431923021,Medicamentos,1
711,431923267,Medicamentos,1
712,431923817,Medicamentos,10
713,431923853,Medicamentos,1
714,431924228,Medicamentos,5
715,431924429,Medicamentos,1
716,431924690,Medicamentos,5
717,431924889,Medicamentos,1
718,431925132,Medicamentos,1
719,431925594,Medicamentos,1
720,431926138,Medicamentos,2
721,431926329,Medicamentos,1
722,431926723,Medicamentos,3
723,431926877,Medicamentos,6
724,431927198,Medicamentos,5
725,431927495,Medicamentos,1
726,431927665,Medicamentos,2
727,431927841,Medicamentos,2
728,431928089,Medicamentos,2
729,431928220,Medicamentos,2
730,431928417,Medicamentos,1
731,431928581,Medicamentos,3
732,431928690,Medicamentos,3
733,431928829,Medicamentos,10
734,432194321,,
735,432195176,,
736,432197875,,
737,432199851,,
738,432200228,,
739,432203337,,
740,432203652,,
741,432205793,Medicamentos,1
742,432206120,Medicamentos,2
743,432206465,Medicamentos,5
744,432206760,Medicamentos,5
745,432207545,Medicamentos,10
746,432208206,Medicamentos,1
747,432208663,Medicamentos,1
748,432209046,Medicamentos,10
749,432209276,Medicamentos,1
750,432209625,Medicamentos,5
751,432210004,Medicamentos,1
752,432210300,Medicamentos,5
753,432210570,Medicamentos,1
754,432210820,Medicamentos,1
755,432210966,Medicamentos,1
756,432211209,Medicamentos,2
757,432211479,Medicamentos,1
758,432211940,Medicamentos,3
759,432212246,Medicamentos,6
760,432212430,Medicamentos,5
761,432212601,Medicamentos,1
762,432212909,Medicamentos,2
763,432213079,Medicamentos,2
764,432213209,Medicamentos,2
765,432213370,Medicamentos,2
766,432213685,Medicamentos,1
767,432213813,Medicamentos,3
768,432214184,Medicamentos,3
769,432214496,Medicamentos,10
770,432231058,,
771,432231292,,
772,432231806,Alevines,
773,432233922,,
774,432235806,Pollos,
775,432236459,Medicamentos,1
776,432236623,Medicamentos,6
777,432236816,Medicamentos,6
778,432238950,Medicamentos,6
779,432239269,Medicamentos,1
780,432239576,Medicamentos,1
781,432239778,Medicamentos,10
782,432240014,Medicamentos,10
783,432240245,Medicamentos,1
784,432240416,Medicamentos,4
785,432240709,Medicamentos,1
786,432240914,Medicamentos,2
787,432241185,Medicamentos,1
788,432241440,Medicamentos,4
789,432241669,Medicamentos,1
790,432241881,Medicamentos,1
791,432242037,Medicamentos,4
792,432242227,Medicamentos,2
793,432242560,Medicamentos,1
794,432242721,Medicamentos,1
795,432242971,Medicamentos,10
796,432251674,Medicamentos,4
797,432252035,Medicamentos,10
798,432252378,Medicamentos,6
799,432252627,Medicamentos,10
800,432252764,Medicamentos,6
801,432253233,Medicamentos,5
802,432253507,Medicamentos,1
803,432253765,Medicamentos,1
804,432254133,Medicamentos,6
805,432254363,Medicamentos,6
806,432254564,Medicamentos,2
807,432254832,Medicamentos,1
808,432255121,Medicamentos,10
809,432266632,,
810,432268507,,
811,432268592,,
812,432271071,Medicamentos,2
813,432271208,Medicamentos,10
814,432271292,Medicamentos,10
815,432271370,Medicamentos,2
816,432271444,Medicamentos,4
817,432271576,Medicamentos,6
818,432271901,Medicamentos,10
819,432272072,Medicamentos,2
820,432272250,Medicamentos,6
821,432272495,Medicamentos,6
822,432272604,Medicamentos,4
823,445923422,,
824,445923424,,
825,445923426,,
826,445923428,,
827,445923431,,
828,446413999,Medicamentos,2
829,446414029,Medicamentos,4
830,446414034,Medicamentos,3
831,446414038,Medicamentos,12
832,446414042,Medicamentos,1
833,446414047,Medicamentos,8
834,446414050,Medicamentos,5
835,446414057,Medicamentos,3
836,446414062,Medicamentos,3
837,446414063,Medicamentos,2
838,447581549,,
839,447581552,,
840,447581558,,
841,447581564,,
842,447581569,,
843,447581579,,
844,447581582,,
845,447581584,,
846,448437784,,
847,448437786,,
848,448437789,,
849,448437792,,
850,448437794,,
851,448437800,,
852,448437804,,
853,448437807,,
854,448540362,,
855,450231934,Medicamentos,5
856,450276146,,
857,450276148,,
858,450276152,,
859,450751467,Pollos,20
860,450751468,Pollos,20
861,450751470,Pollos,20
862,450751473,Pollos,20
863,450751475,Pollos,20
864,450751477,Pollos,20
865,450751483,Pollos,20
866,450751484,Pollos,20
867,450751489,Pollos,20
868,450751491,Pollos,20
869,450751497,Pollos,20
870,450751500,Pollos,20
871,451708103,,
872,451708106,,
873,452037634,,
874,452091810,,
875,452091813,,
876,452091816,,
877,452091829,,
878,452091856,,
879,457916009,,
880,457916010,Medicamentos,20
881,457916012,Medicamentos,1
882,457916013,Medicamentos,20
883,457916014,Medicamentos,10
884,457916015,Medicamentos,8
885,457916017,Medicamentos,4
886,457916018,Medicamentos,10
887,457916019,Medicamentos,10
888,457916020,Medicamentos,16
889,457916023,Medicamentos,10
890,457916025,Medicamentos,26
891,457916028,Medicamentos,1
892,457916029,Medicamentos,20
893,457916030,Medicamentos,20
894,457916032,,
895,457916033,Medicamentos,10
896,458403051,,
897,459857680,Pollos,670
898,460417298,,
899,475915843,Medicamentos,12
900,475915851,Medicamentos,14
901,475915855,Medicamentos,2
902,475915857,Medicamentos,9
903,475915865,Medicamentos,6
904,475915869,Medicamentos,1
905,475915874,Medicamentos,15
906,475915884,Medicamentos,30
907,475915889,Medicamentos,10
908,475915896,Medicamentos,20
909,475915902,Medicamentos,1
910,475915907,Medicamentos,15
911,475916116,Medicamentos,5
912,477115521,Pollos,20
913,479132409,Medicamentos,20
914,479711621,,
915,482976189,Pollos,2
916,483952491,,
917,486495963,Medicamentos,1
918,486501767,Medicamentos,4
919,490030117,Materiales_herramientas,55
920,492160945,Medicamentos,15
921,492160951,Medicamentos,1
922,492160956,Medicamentos,1
923,492160964,Medicamentos,5
924,492160969,Medicamentos,10
925,492160975,Medicamentos,10
926,492160979,Medicamentos,1
927,492160984,Medicamentos,1
928,507768332,Medicamentos,10
929,507768340,Medicamentos,
930,507768346,Medicamentos,1
931,507768350,Medicamentos,8
932,507768357,Medicamentos,1
933,507768359,Medicamentos,1
934,507768364,Medicamentos,1
935,507768369,Medicamentos,5
936,507768375,Medicamentos,
937,507768378,Medicamentos,10
938,517512641,Pollos,25
939,520705870,,
940,520709274,Pollos,20
941,520709278,Pollos,20
942,528751637,,
943,534621068,,
944,534621074,,
945,534621078,,
946,534621081,,
947,534621086,,
948,534621093,,
949,534621095,,
950,535084659,,
951,535084663,,
952,535084670,,
953,535084675,,
954,535084685,,
955,535084691,,
956,535084698,,
957,535084706,,
958,535171126,,
959,535171134,,
960,535309885,,
961,535310000,,
962,535310002,,
963,535310041,,
964,537695783,Medicamentos,2
965,537695788,Medicamentos,1
966,537695794,Medicamentos,1
967,537695802,Medicamentos,11
968,537695806,Medicamentos,1
969,537695812,Medicamentos,6
970,537695820,Medicamentos,1
971,537695827,Medicamentos,1
972,537695834,Medicamentos,1
973,537819498,,
974,537819502,,
975,590162096,,
976,607853765,Medicamentos,1
977,607853773,Medicamentos,2
978,607853780,Medicamentos,4
979,607853788,Medicamentos,1
980,607853797,Medicamentos,2
981,607853801,Medicamentos,10
982,607853807,Medicamentos,5
983,619492150,Medicamentos,3
984,619492156,Medicamentos,2
985,619492161,Medicamentos,
986,619492168,Otro,
987,619492238,Medicamentos,4
988,619492255,Medicamentos,1
989,619492263,Medicamentos,3
990,652403628,,
991,667257001,Pollos,20
992,667257008,Pollos,20
993,667257018,Pollos,20
994,667356783,Materiales_herramientas,5
995,667356791,Materiales_herramientas,5
996,667356798,Materiales_herramientas,5
997,667356803,Materiales_herramientas,5
998,667356815,Materiales_herramientas,5
999,667356821,Materiales_herramientas,5
1000,667356828,Materiales_herramientas,5
1001,667356838,Materiales_herramientas,5
1002,667356844,Materiales_herramientas,5
1003,667356849,Materiales_herramientas,5
1004,667356853,Materiales_herramientas,5
1005,667356862,Materiales_herramientas,5
1006,667356871,Materiales_herramientas,5
1007,667356875,Materiales_herramientas,5
1008,667356883,Materiales_herramientas,5
1009,667414987,Pollos,20
1010,667414995,Pollos,20
1011,667415006,Pollos,20
1012,667415011,Pollos,20
1013,667415017,Pollos,20
1014,667415021,Pollos,20
1015,667415027,Pollos,20
1016,667415034,Pollos,20
1017,667415038,Pollos,20
1018,667415052,Pollos,20
1019,667415055,Pollos,20
1020,667415061,Pollos,20
