,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,fecha,monitor,Comunidad,actividad,poligono,linea,punto,transecto,_geolocation,uso_plantas,especie,num_plantas,otra_sp
48,395071393,3426703c-adc6-495c-8803-567ccd4b056a,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:45:21,Approved,1736873306,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463697 -76.985886 0 0,,"[-2.463697, -76.985886]",siembra_madera_fina,Minquartia_guianensis,,
49,395071448,28ed9b0c-9fa5-4c15-accc-da2dafcef94a,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:45:50,Approved,1736873304,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463758 -76.985943 0 0,,"[-2.463758, -76.985943]",siembra_madera_fina,Minquartia_guianensis,,
50,395071527,fffc7a39-7c05-4dd0-918c-cbdec47c9173,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:46:15,Approved,1736873302,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463808 -76.985932 0 0,,"[-2.463808, -76.985932]",siembra_madera_fina,Minquartia_guianensis,,
51,395071615,3052aacb-778b-4d96-9361-fd9854c875df,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:46:37,Approved,1736873411,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463769 -76.985875 0 0,,"[-2.463769, -76.985875]",siembra_madera_fina,Minquartia_guianensis,,
52,395071713,8da07799-b025-40b8-867b-230cc3c79adb,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:47:02,Approved,1736873409,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463726 -76.985814 0 0,,"[-2.463726, -76.985814]",siembra_madera_fina,Minquartia_guianensis,,
53,395071838,6121e58d-eee3-4c40-a7d6-85e119a87a57,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:47:25,Approved,1736873407,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463623 -76.985841 0 0,,"[-2.463623, -76.985841]",siembra_madera_fina,Minquartia_guianensis,,
54,395071998,44ade08c-788c-4604-8e6e-b31343787e74,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:47:50,Approved,1736873404,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463605 -76.985926 0 0,,"[-2.463605, -76.985926]",siembra_madera_fina,Minquartia_guianensis,,
55,395072116,e8c9384a-7614-490d-9b74-736c7a4347f6,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:48:15,Approved,1736873402,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463615 -76.985932 0 0,,"[-2.463615, -76.985932]",siembra_madera_fina,Minquartia_guianensis,,
56,395072191,e3a5914f-274a-4d97-a873-2698c87d1189,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:48:34,Approved,1736873401,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463648 -76.98601 0 0,,"[-2.463648, -76.98601]",siembra_madera_fina,Minquartia_guianensis,,
57,395072247,1d2cd47b-1c39-4118-951f-f9e181dd96e1,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:48:55,Approved,1736873400,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463657 -76.986078 0 0,,"[-2.463657, -76.986078]",siembra_madera_fina,Minquartia_guianensis,,
58,395072316,5996765b-50a2-4495-8677-a0d04d98130e,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:49:15,Approved,1736873398,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.46367 -76.986085 0 0,,"[-2.46367, -76.986085]",siembra_madera_fina,Minquartia_guianensis,,
59,395072394,16bec69b-61ae-47ea-8854-1c040edc51db,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:49:35,Approved,1736873396,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.46366 -76.986149 0 0,,"[-2.46366, -76.986149]",siembra_madera_fina,Minquartia_guianensis,,
60,395072499,44df1928-8647-409f-9bf2-3bee12a9b7de,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:50:01,Approved,1736873395,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463692 -76.986154 0 0,,"[-2.463692, -76.986154]",siembra_madera_fina,Minquartia_guianensis,,
