,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,Fecha,Creado_por,Monitor,Comunidad,Actividad_monitorear,Numero_hombres,Numero_mujeres,Tipo_asamblea,Numero_dias,Foto_asamblea,Decision_principal
0,430721188,cbfd8aad-314b-4e35-89d9-8c2b78ffce1c,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:11:29,Approved,1744654385,monitoreo_pachamama,2023-05-05,,Agustín,Sharamentsa,Asambleas,,,Extraordinaria,,,Realizo la reunión extra ordinaria con la comunidad.
1,430723249,606906b9-e378-4bc8-990e-ce04096a54dc,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:42:31,Approved,1744654387,monitoreo_pachamama,2024-03-20,,Agustín,Sharamentsa,Asambleas,,,Extraordinaria,,,Asamblea para socialización de la creación de nuevo colegio particular Waldor.
2,430723338,c12fd135-645c-4321-a6c6-b5e8a746d487,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:44:18,Approved,1744654351,monitoreo_pachamama,2024-04-03,,Manuel,Sharamentsa,Asambleas,,,Extraordinaria,,,Asamblea extraordinaria de la comunidad achuar Sharamentsa.
3,430723430,10e0636c-7076-44b0-84ab-99a1ab8ef7ea,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:45:53,Approved,1744654336,monitoreo_pachamama,2024-04-03,,Agustín,Sharamentsa,Asambleas,,,Extraordinaria,,,Asamblea extraordinaria de la comunidad Achuar Sharamentsa
4,430723749,a32bb7e6-6c39-48ce-a9ef-327711e5b2cf,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:49:45,Approved,1744654379,monitoreo_pachamama,2024-05-13,,Agustín,Sharamentsa,Asambleas,,,Extraordinaria,,,"Realización de la asamblea extra ordinaria de la comunidad Sharamentsa, para la preparación de la asamblea"
5,430723908,337b3995-caa5-4dd5-9e5a-419375c704b6,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:51:23,Approved,1744654389,monitoreo_pachamama,2024-05-18,,Agustín,Sharamentsa,Asambleas,,,Extraordinaria,,,Participación en la asamblea extraordinaria de la asociación y presentación de informe del trabajo del proyecto Sharam.
6,430724072,3147450b-32c7-4c83-a3e9-35d9aeb218a1,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:53:29,Approved,1744654347,monitoreo_pachamama,2024-05-27,,Agustín,Sharamentsa,Asambleas,,,Extraordinaria,,,"Se realizo la reunión con el consejo de la comunidad y el equipo del proyecto Sharam, para la ejecución de"
7,430724212,bc6f62dc-f622-4f72-95b5-87aa8f363a42,v7Z7Fszan4sL4hdEfL5WFn,2025-01-16T23:54:59,Approved,1744654332,monitoreo_pachamama,2024-05-31,,Agustín,Sharamentsa,Asambleas,,,Extraordinaria,,,Asamblea donde se trato la cultura y que los socios de la comunidad cumplan con el reglamento interno.
8,432266761,de922b61-2d55-4101-985b-c22261552e20,v7Z7Fszan4sL4hdEfL5WFn,2025-01-21T21:17:05,Approved,1744654450,monitoreo_pachamama,2024-08-06,,Amasank,Sharamentsa,Asambleas,,,Ordinaria,,,"La comunidad Achuar Sharamentsa, realizo la asamblea extra ordinaria para el reforma del plan de inversión."
9,448085830,b73418b1-83bf-44fd-b127-7e49ea460f4d,v6eW39yj5am7wNzxnkSH4a,2025-03-04T18:11:46,Approved,1741974044,conservacion_sharamentsa,2025-02-27,,Agustín Tentets,Sharamentsa,Asambleas,12,10,Extraordinaria,1,1740671445465.jpg,Visita a la comunidad Napurak con el Sr. Per para una conversatorio del proyecto de conservación.
10,448564595,9ebd939b-3552-4b9b-b6fd-447cc87230cd,v6eW39yj5am7wNzxnkSH4a,2025-03-05T21:51:20,Approved,1748549290,conservacion_napurak,2025-02-27,,Pascualina yampik,Napurak,Asambleas,13,11,Extraordinaria,2,1740672556546.jpg,Visita de Per y Ana para tratar sobre la ejecución del proyecto en la comunidad Napurak.
11,449039276,c8366513-c8bd-41c9-b85a-2fc8e6c6cbbf,v6eW39yj5am7wNzxnkSH4a,2025-03-07T03:55:38,Approved,1748549315,conservacion_shuinmamus,2025-02-26,,Galo Mayak,Shuinmamus,Asambleas,30,32,Extraordinaria,1,1740595658315.jpg,Mantener el respeto de los animales que están en peligro
12,450276195,03785a18-1dc4-4160-905a-ef1e72d42ff2,v6eW39yj5am7wNzxnkSH4a,2025-03-10T16:24:33,Approved,1741708702,conservacion_sharamentsa,2025-03-06,,Puwanchir Tsamarin wanach Manuel ,Sharamentsa,Asambleas,19,20,Ordinaria,1,1741296477073.jpg,Aprobaron que siguen adelante con su trabajo
13,450746083,1ccb8530-6fce-4a2f-b5d0-b066e6daa0b0,v6eW39yj5am7wNzxnkSH4a,2025-03-11T16:38:32,Approved,1748550050,conservacion_napurak,2025-02-27,,Santiago mukucham,Napurak,Asambleas,10,10,Extraordinaria,4,1740671062743.jpg,Tratar sobre el asunto del proyecto
14,452037604,dfc7d2af-7f3d-467d-a2c8-3171d87b84e7,v6eW39yj5am7wNzxnkSH4a,2025-03-14T16:36:50,Approved,1741974446,conservacion_sharamentsa,2025-03-09,,Agustín Tentets,Sharamentsa,Asambleas,30,48,Extraordinaria,1,1741886598163.jpg,"Seguimiento de proyecto de conservación en Shuinmamus, Análisis de plan de inversión y su ejecución, la comunidad Shuinmamus está comprometido de seguir cumpliendo el compromiso de  no ala carretera."
15,455381903,b7cf6222-c349-447d-abca-ef8254d8bb95,v6eW39yj5am7wNzxnkSH4a,2025-03-23T19:27:51,Approved,1743438657,conservacion_sharamentsa,2025-03-23,,Kuyach Vargas Wampi Benito,Sharamentsa,Asambleas,25,21,Extraordinaria,1,1742749168656.jpg,Plan de inversión 2025
16,461180732,a7d1f2b4-5054-4031-a3e6-44d603f50f91,v6eW39yj5am7wNzxnkSH4a,2025-04-09T15:11:49,Approved,1748548967,conservacion_napurak,2025-04-05,,Santiago mukucham,Napurak,Asambleas,14,13,Ordinaria,7,1743949938821.jpg,Coordinador de wankian
17,463989434,1c8cde7f-197f-453a-aab4-5e6edcd36a51,v6eW39yj5am7wNzxnkSH4a,2025-04-15T18:56:19,Approved,1748544149,conservacion_napurak,2025-04-11,,Jorge senkuan,Napurak,Asambleas,16,17,Extraordinaria,1,1744384521799.jpg,Esta cabezando el director del CECIB uwiti prof. Cristóbal Senkuan.
18,463989434,1c8cde7f-197f-453a-aab4-5e6edcd36a51,v6eW39yj5am7wNzxnkSH4a,2025-04-15T18:56:19,Approved,1748544149,conservacion_napurak,2025-04-11,,Jorge senkuan,Napurak,Asambleas,16,17,Extraordinaria,1,1744384521799.jpg,Tema de cartillas
19,464800636,e5bb2123-eded-4398-a551-db335d8d2c5f,v6eW39yj5am7wNzxnkSH4a,2025-04-17T00:41:17,Approved,1754669137,conservacion_sharamentsa,2025-04-09,,Yunkar Esach Tii Oswaldo,Sharamentsa,Asambleas,18,13,Extraordinaria,3,1744229549636.jpg,Información de capacitación de los monitores
20,473676541,b0f39c4f-135d-487e-8e3f-5c63dd5ca1c6,v6eW39yj5am7wNzxnkSH4a,2025-05-03T15:47:26,Approved,1748544014,conservacion_napurak,2025-05-03,,Pascualina yampik,Napurak,Asambleas,10,11,Extraordinaria,6,1746282606700.jpg,Análisis de reglamentó interno de la comunidad
21,495707809,a45a0933-5d52-48f2-8cdc-2b74bb25d267,v6eW39yj5am7wNzxnkSH4a,2025-06-11T15:21:58,Approved,1749656454,conservacion_napurak,2025-06-08,,Santiago mukucham,Napurak,Asambleas,15,9,Extraordinaria,8,1749415089813.jpg,Hemos reunidos de la asamblea extraordinaria del proyecto
22,495923340,a1acc228-501a-47e9-addc-934fba30c123,v6eW39yj5am7wNzxnkSH4a,2025-06-11T22:08:35,Approved,1750179846,conservacion_sharamentsa,2025-06-11,,Manuel Tsamarin,Sharamentsa,Asambleas,25,26,Extraordinaria,1,1749652862389.jpg,Asamblea Extraordinaria de PP.FF
23,499212596,0803f0d0-02f0-4403-a5aa-4e5e14fdcc3b,v6eW39yj5am7wNzxnkSH4a,2025-06-17T12:59:23,Approved,1750171339,conservacion_wayusentsa,2025-06-14,,Nanki yunkar,Wayusentsa,Asambleas,45,35,Extraordinaria,1,1749912121578.jpg,Acordados realizar en lindero entre dos nacionalidades achuar y Andwa
24,500850488,c0141685-099c-43a9-b5f6-05b512ade40c,v6eW39yj5am7wNzxnkSH4a,2025-06-19T13:59:41,Approved,1750342196,conservacion_wayusentsa,2025-06-01,,Edith yunkar,Wayusentsa,Asambleas,25,24,Extraordinaria,1,,En la comunidad achuar wayusentsa realizaron  una asamblea extraordinaria para  canalizar plan de inversión para fondo dela comunidad de e proyecto de conservación Biocultural. Y todo los socios queda acuerdo el fondo canalizado en cada necesidad.
