,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,Fecha,CreadoPor,Monitor,Comunidad,Entorno,Tipo_evidencia,Descripcion,N_jaguares,Conflictos_jaguar,Otros_animales,Nivel_taxonomico,Nombre_cientifico,Nombre_achuar,Nombre_comun,Punto_evidencia,Latitud,Longitud,Foto_evidencia,Foto_url
73,645526777,9cebf776-ddec-4c71-9f12-ed70b2d9095a,vZckxcSV7USiKwLCDE2VjP,2026-01-09T14:21:05,Approved,1768076927,conservacion_wayusentsa,2026-01-06,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Alado de laguna,Huellas o rastros,Huella  de venado,1,,,,,Japa,Venado,-2.4643721 -76.9071081 259.7 4.98,-2.4643721,-76.9071081,1767730880116.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/645526777/attachments/att7nwGn5ZPgHXvTt5Ybarrn/
74,647110325,297626bb-b38c-4cbe-a797-cd76df2b5021,vZckxcSV7USiKwLCDE2VjP,2026-01-12T13:29:31,Approved,1769436834,conservacion_wayusentsa,2026-01-11,Naichap_Santi_Amaru_Gabriel,Naichap Santi Gabriel Amaru,Wayusentsa,Camino barrio Ikiam,Alimentacion,Bomito,1,,,,,Juan yawa,Jaguar,-2.4445014 -76.9318526 305.2 4.84,-2.4445014,-76.9318526,1768132160513.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/647110325/attachments/attcKoCje7XMuCAZ8y5kjmZf/
75,653293031,a0b75811-0b9f-412f-85af-8e46799ed4a0,vZckxcSV7USiKwLCDE2VjP,2026-01-21T18:06:48,Approved,1769436632,conservacion_wayusentsa,2026-01-19,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En kumpau entsa,Huellas o rastros,Huella,1,,,,,Pama,Tapir,-2.475947 -76.8939938 263.1 5.0,-2.47614,-76.89418,1768840091934.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/653293031/attachments/attJnjbnTfFjpBCaeTyFYhZr/
76,653398635,f6d7e929-bfa2-4b88-a4bb-b7add9e95bba,vZckxcSV7USiKwLCDE2VjP,2026-01-22T00:21:29,Approved,1769170118,conservacion_shuinmamus,2026-01-19,Entsakua_Mayak_Arutam_Fernando,Fernando Entsakua,Shuinmamus,En el camino vía Ipiak,Huellas o rastros,Encontré la huella de Tigre,1,,,Especie,,Juan yawa nawe,Tigre,-2.477065 -77.0863517 301.3 4.98,-2.4769883,-77.0862483,1768826959442.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/653398635/attachments/attVVpKVkQycxLMdJZU976Ds/
77,653398734,dad1a1fb-f353-4b4d-9220-a95d818d6d76,vZckxcSV7USiKwLCDE2VjP,2026-01-22T00:21:43,Approved,1769170061,conservacion_shuinmamus,2026-01-19,Entsakua_Mayak_Arutam_Fernando,Fernando Entsakua,Shuinmamus,En el camino vía Ipiak,Alimentacion,Vomito de Tigre,1,,,Especie,,Juan yawa,Tigre,-2.4752349 -77.0833011 769.0 4.84,-2.4752349,-77.0833011,1768830678172.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/653398734/attachments/attXyTjpUDmEReuRnMNYupms/
78,654669420,e77d13da-63c0-4bf3-99e7-bd85265f501a,vZckxcSV7USiKwLCDE2VjP,2026-01-23T17:54:12,Approved,1769703385,conservacion_wayusentsa,2026-01-22,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En kantash entsa,Huellas o rastros,Huella,1,,,,,Yankun,Armadillo gigante,-2.466775 -76.9159017 300.6 4.94,-2.466775,-76.9159017,1769096174036.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/654669420/attachments/attiUFBAco3EUX2vPdWyRVMb/
79,655560056,a7610975-aeda-4523-8503-41398ecdd67f,vZckxcSV7USiKwLCDE2VjP,2026-01-25T14:38:44,Approved,1769436535,conservacion_wayusentsa,2026-01-24,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En saladero,Huellas o rastros,Huella,1,,,,,Yankipik,Sajino,-2.4624466 -76.913529 291.8 4.92,-2.4624466,-76.913529,1769266012395.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/655560056/attachments/attBmgwVvwjzgiQfmy6uBiML/
80,657013760,16e274ef-2f0a-495f-8c7c-4f0c40c5a2a4,vZckxcSV7USiKwLCDE2VjP,2026-01-27T12:44:34,Approved,1769991577,conservacion_wayusentsa,2026-01-26,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En barrio mente,Huellas o rastros,Huella,1,,,,,Pama,Tapir,-2.4586115 -76.9123212 45.0 4.945,-2.4586115,-76.9123212,1769437680957.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/657013760/attachments/attLrepRZrQk6eHP8ok5Zs7N/
81,657013962,ffe450fa-12cb-4ca4-a1d0-88ab3f22cfd6,vZckxcSV7USiKwLCDE2VjP,2026-01-27T12:44:46,Approved,1769703536,conservacion_wayusentsa,2026-01-26,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En kantash entsa,Huellas o rastros,Huella,1,,,,,Pama,Tapir,-2.4690201 -76.9132459 273.90000000000003 3.76,-2.4690201,-76.9132459,1769452219873.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/657013962/attachments/att737YgpGpR7Qcm8PAKVK4v/
82,668286502,f00f329f-4db2-416d-ab7a-04589e4df9bb,vZckxcSV7USiKwLCDE2VjP,2026-02-10T13:14:33,Approved,1770731232,conservacion_napurak,2026-02-06,Yampik_Tserem_Mainia_Pascualina,,Napurak,En el camino de napurak a wampuik,Huellas o rastros,8.50,5,,,,,Juuntyawa,Jaguar,-2.5322799 -76.9997664 266.6 4.8,-2.5322799,-76.9997664,1770401420668.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/668286502/attachments/attGwqe6pqb4oVMJcvXnXgAL/
83,668345093,b78a7f80-617f-40ef-a9ba-9a9ea348699c,vZckxcSV7USiKwLCDE2VjP,2026-02-10T14:07:21,Approved,1770732762,conservacion_napurak,2026-02-09,Tserem_Naranjas_Shakaim_Claudio,,Napurak,En el camino de Napurak a Wampuik,Huellas o rastros,7 y 9 cm,5,,,Especie,,Junt Yawa,Jaguar,-2.5251726 -76.9943848 264.0 3.4,-2.5251545,-76.9943798,1770665573778.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/668345093/attachments/att84En5s6Y4twcHAFPWcv4J/
84,674022094,3153e2ae-485c-4ef8-8faf-5ca5b7a8c08c,vZckxcSV7USiKwLCDE2VjP,2026-02-17T13:56:53,Approved,1771419041,conservacion_napurak,2026-02-17,Tserem_Naranjas_Shakaim_Claudio,,Napurak,En el camino de Napurak a Wampuik,Huellas o rastros,8 cm largo y 8 cm de ancho,5,,,,,Junt Yawa,Jaguar,-2.5225937 -76.9937585 298.90000000000003 4.68,-2.5225937,-76.9937585,1771329023407.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/674022094/attachments/attCC9sto8g2qbFkfAjkoZ8S/
85,677478262,545c894e-1fcd-4b6c-bd29-378c67484b05,vZckxcSV7USiKwLCDE2VjP,2026-02-22T13:27:19,Approved,1771979250,conservacion_wayusentsa,2026-02-20,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En camino de barrio mente,Huellas o rastros,Huella  venado,1,,,,,Japa,Venado,-2.4619913 -76.9098919 288.1 4.601,-2.4620074,-76.9098859,1771606046809.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/677478262/attachments/attV6MxJnzhz8jZCs3gdMPn3/
86,682000073,00f774a3-d28c-40be-9ea7-a34862f50f65,vZckxcSV7USiKwLCDE2VjP,2026-02-27T13:16:57,Approved,1772560043,conservacion_wayusentsa,2026-02-26,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En camino de barrio mente,Huellas o rastros,Huella,1,,,,,Yankun,Armadillo gigante,-2.4596198 -76.9109282 294.40000000000003 5.0,-2.4596198,-76.9109282,1772112490131.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/682000073/attachments/attZCknKXXX69QCsTmizG4Bq/
