,_id,seguridad_alimentaria,otra_seguridad_alimentaria
681,431843174,,
682,431843357,,
683,431843472,,
684,431843623,,
685,431854255,,
686,431854505,,
687,431854905,,
688,431855221,,
689,431855696,,
690,431855887,,
691,431856283,,
692,431856441,,
693,431856781,,
694,431856952,,
695,431857235,,
696,431857458,,
697,431857768,,
698,431858173,,
699,431858535,,
700,431858751,,
701,431859361,,
702,431876754,,
703,431877524,,
704,431877641,,
705,431921186,,
706,431921738,,
707,431922021,,
708,431922351,,
709,431922622,,
710,431923021,,
711,431923267,,
712,431923817,,
713,431923853,,
714,431924228,,
715,431924429,,
716,431924690,,
717,431924889,,
718,431925132,,
719,431925594,,
720,431926138,,
721,431926329,,
722,431926723,,
723,431926877,,
724,431927198,,
725,431927495,,
726,431927665,,
727,431927841,,
728,431928089,,
729,431928220,,
730,431928417,,
731,431928581,,
732,431928690,,
733,431928829,,
734,432194321,Otro,Inspección de agua potable
735,432195176,Avicultura,
736,432197875,,
737,432199851,Pisicultura,
738,432200228,Avicultura,
739,432203337,Avicultura,
740,432203652,Pisicultura,
741,432205793,,
742,432206120,,
743,432206465,,
744,432206760,,
745,432207545,,
746,432208206,,
747,432208663,,
748,432209046,,
749,432209276,,
750,432209625,,
751,432210004,,
752,432210300,,
753,432210570,,
754,432210820,,
755,432210966,,
756,432211209,,
757,432211479,,
758,432211940,,
759,432212246,,
760,432212430,,
761,432212601,,
762,432212909,,
763,432213079,,
764,432213209,,
765,432213370,,
766,432213685,,
767,432213813,,
768,432214184,,
769,432214496,,
770,432231058,Pisicultura,
771,432231292,,
772,432231806,Pisicultura,
773,432233922,,
774,432235806,Avicultura,
775,432236459,,
776,432236623,,
777,432236816,,
778,432238950,,
779,432239269,,
780,432239576,,
781,432239778,,
782,432240014,,
783,432240245,,
784,432240416,,
785,432240709,,
786,432240914,,
787,432241185,,
788,432241440,,
789,432241669,,
790,432241881,,
791,432242037,,
792,432242227,,
793,432242560,,
794,432242721,,
795,432242971,,
796,432251674,,
797,432252035,,
798,432252378,,
799,432252627,,
800,432252764,,
801,432253233,,
802,432253507,,
803,432253765,,
804,432254133,,
805,432254363,,
806,432254564,,
807,432254832,,
808,432255121,,
809,432266632,,
810,432268507,,
811,432268592,,
812,432271071,,
813,432271208,,
814,432271292,,
815,432271370,,
816,432271444,,
817,432271576,,
818,432271901,,
819,432272072,,
820,432272250,,
821,432272495,,
822,432272604,,
823,445923422,Pisicultura,
824,445923424,Pisicultura,
825,445923426,Pisicultura,
826,445923428,Pisicultura,
827,445923431,Pisicultura,
828,446413999,,
829,446414029,,
830,446414034,,
831,446414038,,
832,446414042,,
833,446414047,,
834,446414050,,
835,446414057,,
836,446414062,,
837,446414063,,
838,447581549,Avicultura,
839,447581552,Pisicultura,
840,447581558,Pisicultura,
841,447581564,Pisicultura,
842,447581569,Pisicultura,
843,447581579,Pisicultura,
844,447581582,Avicultura,
845,447581584,Avicultura,
846,448437784,Avicultura,
847,448437786,Avicultura,
848,448437789,Avicultura,
849,448437792,Avicultura,
850,448437794,Avicultura,
851,448437800,Avicultura,
852,448437804,Avicultura,
853,448437807,Avicultura,
854,448540362,Avicultura,
855,450231934,,
856,450276146,Avicultura,
857,450276148,Avicultura,
858,450276152,Avicultura,
859,450751467,Avicultura,
860,450751468,Avicultura,
861,450751470,Avicultura,
862,450751473,Avicultura,
863,450751475,Avicultura,
864,450751477,Avicultura,
865,450751483,Avicultura,
866,450751484,Avicultura,
867,450751489,Avicultura,
868,450751491,Avicultura,
869,450751497,Avicultura,
870,450751500,Avicultura,
871,451708103,Avicultura,
872,451708106,Avicultura,
873,452037634,,
874,452091810,Pisicultura,
875,452091813,Pisicultura,
876,452091816,Avicultura,
877,452091829,Pisicultura,
878,452091856,Avicultura,
879,457916009,,
880,457916010,,
881,457916012,,
882,457916013,,
883,457916014,,
884,457916015,,
885,457916017,,
886,457916018,,
887,457916019,,
888,457916020,,
889,457916023,,
890,457916025,,
891,457916028,,
892,457916029,,
893,457916030,,
894,457916032,Pisicultura,
895,457916033,,
896,458403051,,
897,459857680,,
898,460417298,,
899,475915843,,
900,475915851,,
901,475915855,,
902,475915857,,
903,475915865,,
904,475915869,,
905,475915874,,
906,475915884,,
907,475915889,,
908,475915896,,
909,475915902,,
910,475915907,,
911,475916116,,
912,477115521,Avicultura,
913,479132409,,
914,479711621,,
915,482976189,Avicultura,
916,483952491,,
917,486495963,,
918,486501767,,
919,490030117,Pisicultura,
920,492160945,,
921,492160951,,
922,492160956,,
923,492160964,,
924,492160969,,
925,492160975,,
926,492160979,,
927,492160984,,
928,507768332,,
929,507768340,,
930,507768346,,
931,507768350,,
932,507768357,,
933,507768359,,
934,507768364,,
935,507768369,,
936,507768375,,
937,507768378,,
938,517512641,Avicultura,
939,520705870,,
940,520709274,Avicultura,
941,520709278,Avicultura,
942,528751637,,
943,534621068,Avicultura,
944,534621074,Avicultura,
945,534621078,Avicultura,
946,534621081,Avicultura,
947,534621086,Avicultura,
948,534621093,Avicultura,
949,534621095,Avicultura,
950,535084659,Avicultura,
951,535084663,Avicultura,
952,535084670,Avicultura,
953,535084675,Avicultura,
954,535084685,Avicultura,
955,535084691,Avicultura,
956,535084698,Avicultura,
957,535084706,Avicultura,
958,535171126,Pisicultura,
959,535171134,Pisicultura,
960,535309885,Pisicultura,
961,535310000,Pisicultura,
962,535310002,Pisicultura,
963,535310041,Pisicultura,
964,537695783,,
965,537695788,,
966,537695794,,
967,537695802,,
968,537695806,,
969,537695812,,
970,537695820,,
971,537695827,,
972,537695834,,
973,537819498,Pisicultura,
974,537819502,Avicultura,
975,590162096,,
976,607853765,,
977,607853773,,
978,607853780,,
979,607853788,,
980,607853797,,
981,607853801,,
982,607853807,,
983,619492150,,
984,619492156,,
985,619492161,,
986,619492168,,
987,619492238,,
988,619492255,,
989,619492263,,
990,652403628,,
991,667257001,Avicultura,
992,667257008,Avicultura,
993,667257018,Avicultura,
994,667356783,Pisicultura,
995,667356791,Pisicultura,
996,667356798,Pisicultura,
997,667356803,Pisicultura,
998,667356815,Pisicultura,
999,667356821,Pisicultura,
1000,667356828,Pisicultura,
1001,667356838,Pisicultura,
1002,667356844,Pisicultura,
1003,667356849,Pisicultura,
1004,667356853,Pisicultura,
1005,667356862,Pisicultura,
1006,667356871,Pisicultura,
1007,667356875,Pisicultura,
1008,667356883,Pisicultura,
1009,667414987,Avicultura,
1010,667414995,Avicultura,
1011,667415006,Avicultura,
1012,667415011,Avicultura,
1013,667415017,Avicultura,
1014,667415021,Avicultura,
1015,667415027,Avicultura,
1016,667415034,Avicultura,
1017,667415038,Avicultura,
1018,667415052,Avicultura,
1019,667415055,Avicultura,
1020,667415061,Avicultura,
